,Unnamed: 0,job_titles,companys,location,employment_type,gov_support,salary,links,industrys
23,23,Financial Data Analytics Manager,ASTELLAS PHARMA SINGAPORE PTE. LTD.,East,Manager,,"$8,000to$16,000",https://www.mycareersfuture.sg/job/financial-data-analytics-manager-astellas-pharma-singapore-b3259db120d20fc3eea5f248eecdd6f7,Accounting / Auditing / Taxation ...
24,24,Informatica Cloud Developer,ALPHATECH BUSINESS SOLUTIONS PTE. LTD.,East,Professional,Government support available,"$7,000to$9,000",https://www.mycareersfuture.sg/job/informatica-cloud-developer-alphatech-business-solutions-848e577bdf80e2c8505e47611363c5e1,Information Technology
25,25,Masterdata Help Desk Assistant (Temporary),LEGO SINGAPORE PTE. LTD.,East,Fresh/entry level,Government support available,"$2,600to$5,200",https://www.mycareersfuture.sg/job/masterdata-help-desk-assistant-lego-singapore-a1146c6446b49002297f27f575973c19,Human Resources 
26,26,Supply Chain Risk Intelligence Analyst,DHL EXPRESS (SINGAPORE) PTE. LTD.,East,Junior Executive,Government support available,"$5,000to$7,000",https://www.mycareersfuture.sg/job/supply-chain-risk-intelligence-analyst-dhl-express-666cd5b37c2d57b1a5138a432f3a9d3c,Risk Management
27,27,Senior Software Engineer (Windows Desktop),Company Undisclosed,West,Senior Executive,Government support available,"$5,500to$7,000",https://www.mycareersfuture.sg/job/senior-software-engineer-eb55e262e99375e51ab082437a67f6d9,Information Technology
29,29,Market Risk Analyst (1 year Contract),CARGILL INTERNATIONAL TRADING PTE LTD,Central,Professional,Government support available,"$4,000to$7,000",https://www.mycareersfuture.sg/job/market-risk-analyst-cargill-international-trading-13888879fa0f2c018721b5e70a469dca,Others
30,30,Risk Analyst,NSEARCH GLOBAL PTE. LTD.,Central,Senior Executive,Government support available,"$5,000to$7,000",https://www.mycareersfuture.sg/job/risk-analyst-nsearch-global-b88f5794f4829b2f8b73f7ebe585ce7f,Banking and Finance
31,31,Senior Behavioral Therapist,EMUNA HOUSE PTE. LTD.,Islandwide,Manager,,"$4,000to$7,000",https://www.mycareersfuture.sg/job/senior-behavioral-therapist-emuna-house-bd9a57442012bd243835095c25144175,Medical / Therapy Services
32,32,Civil Engineer (Dredging),BOSKALIS INTERNATIONAL B. V.,Islandwide,Senior Executive,Government support available,"$3,000to$5,500",https://www.mycareersfuture.sg/job/civil-engineer-boskalis-international-b-v-a3a0e5bf2c43ef092dfd2dfcfc06d17d,Engineering
33,33,User Acquisition Executive (Facebook Advertising),GUMI ASIA PTE. LTD.,South,Executive,Government support available,"$4,000to$5,600",https://www.mycareersfuture.sg/job/user-acquisition-executive-gumi-asia-03e6e554c3a67e81cf463ae7313882ed,Advertising / Media 
35,35,System Analyst (Analytics),REN CI HOSPITAL,Central,Executive,Government support available,"$3,300to$4,500",https://www.mycareersfuture.sg/job/system-analyst-ren-ci-hospital-1c231e41dec8f7320fb8d7e8ba86985b,Information Technology
36,36,IT  /  Database Engineer,PENTA-OCEAN CONSTRUCTION COMPANY LIMITED,West,Professional,,"$5,000to$6,000",https://www.mycareersfuture.sg/job/database-engineer-penta-ocean-construction-company-ba4681ff9235cc29d984ca0ef8f9b033,Information Technology
37,37,ETL Developer,ASIACLOUD SOLUTIONS PRIVATE LIMITED,Islandwide,Professional ...,Government support available,"$5,000to$7,500",https://www.mycareersfuture.sg/job/etl-developer-asiacloud-solutions-0b1ccdcadc755fa323def2cd54f4c37c,Information Technology
38,38,IT Manager (6months),BUSINESS EDGE PERSONNEL SERVICES PTE LTD,Central,Manager ...,,"$2,500to$2,800",https://www.mycareersfuture.sg/job/manager-business-edge-personnel-services-e83be30d9b73426e7a3000ecc2312805,Information Technology
39,39,Salesforce Administrator,FOODPANDA SINGAPORE PTE. LTD.,Central,Professional,Government support available,"$3,000to$6,000",https://www.mycareersfuture.sg/job/salesforce-administrator-foodpanda-singapore-99f757a6d92eacd5ecbb5bf1875e2cad,Others
41,41,Project Engineer,QUEST GLOBAL SERVICES PTE. LTD.,North,Professional,,"$4,500to$7,000",https://www.mycareersfuture.sg/job/project-engineer-quest-global-services-87143829a427def2380b1b6757ef4736,Engineering
42,42,"HR Generalist, SEA",Company Undisclosed,Central,Professional,Government support available,Salary undisclosed,https://www.mycareersfuture.sg/job/hr-generalist-sea-39fce43db8710996f23a910763254d5a,Human Resources 
43,43,Analyst,JONES LANG LASALLE PROPERTY CONSULTANTS PTE LTD,Central,Manager ...,Government support available,"$3,500to$4,500",https://www.mycareersfuture.sg/job/analyst-jones-lang-lasalle-property-consultants-f11b8debe86e354b3233187f98367975,Real Estate / Property Management
44,44,Land Surveyor,Singapore Land Authority,,Executive,,"$2,800to$5,600",https://www.mycareersfuture.sg/job/land-surveyor-singapore-land-authority-c932d16e8313fc418f3d82d8eaf2cc5a,Engineering ...
45,45,Research Assistant / Associate,NATIONAL UNIVERSITY OF SINGAPORE,South,Professional,,"$3,000to$4,500",https://www.mycareersfuture.sg/job/research-assistant-associate-national-university-singapore-1cc172ddb8674a2201b0116b25721bfe,Sciences / Laboratory / R&D
46,46,Principal Database Administrator (DB2 z / OS),CENTRAL PROVIDENT FUND BOARD,,,,Salary undisclosed,https://www.mycareersfuture.sg/job/principal-database-administrator-central-provident-fund-board-62ce48e08479c4ae191b2c138d8989ee,Information Technology ...
